================================================
TCP Flow Control Parameter Sweep
================================================
Preset:    starlink-realistic-baseline
Cluster:   starlink-realistic
Output:    /home/acooks/jittertrap/pathological-porcupines/experiments/tcp-flow-control/results/starlink-realistic/starlink-realistic-baseline.csv
Topology:  pp-source (10.0.1.1) -> pp-dest (10.0.1.2)

Starting packet capture...
dropped privs to tcpdump
tcpdump: listening on br0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
Running namespace-aware sweep...

11:17:45 INFO     [119/144] buf=262144, delay=1ms, rate=50.0MB/s, net=12ms±7ms loss=0.2%
11:18:03 INFO       -> zero_window=0, throughput=244KB/s, rtt_mean=13.3ms
11:18:03 INFO     [120/144] buf=262144, delay=1ms, rate=50.0MB/s, net=12ms±7ms loss=0.2%, cc=bbr
11:18:23 INFO       -> zero_window=0, throughput=941KB/s, rtt_mean=17.6ms
11:18:23 INFO     [121/144] buf=262144, delay=1ms, rate=50.0MB/s, net=15ms±3ms loss=0.1%
11:18:45 INFO       -> zero_window=0, throughput=2891KB/s, rtt_mean=17.2ms
11:18:46 INFO     [122/144] buf=262144, delay=1ms, rate=50.0MB/s, net=15ms±3ms loss=0.1%, cc=bbr
11:19:13 INFO       -> zero_window=0, throughput=6040KB/s, rtt_mean=18.6ms
11:19:13 INFO     [123/144] buf=262144, delay=1ms, rate=50.0MB/s, net=15ms±3ms loss=0.2%
11:19:33 INFO       -> zero_window=0, throughput=1307KB/s, rtt_mean=16.5ms
